timestamp,latitude,longitude
138222,43.55508,-79.847168
138223,43.555305,-79.846916
138224,43.555531,-79.846657
138225,43.555759,-79.846405
138226,43.555984,-79.846161
138227,43.55621,-79.845909
138228,43.556435,-79.845657
138229,43.556652,-79.845406
138230,43.556877,-79.845169
138231,43.557091,-79.844925
138232,43.557312,-79.844688
138233,43.557529,-79.844444
138234,43.557743,-79.8442
138235,43.557961,-79.843964
138236,43.558174,-79.843719
138237,43.558395,-79.843483
138238,43.558609,-79.843239
138239,43.558823,-79.843002
138240,43.55904,-79.842758
138241,43.559254,-79.842522
138242,43.559471,-79.842278
138243,43.559689,-79.842041
138244,43.559902,-79.841797
138245,43.56012,-79.84156
138246,43.560341,-79.841316
138247,43.560558,-79.841072
138248,43.560776,-79.840836
138249,43.561001,-79.840591
138250,43.561214,-79.840347
138251,43.56144,-79.840096
138252,43.561657,-79.839851
138253,43.561878,-79.8396
138254,43.562099,-79.839363
138255,43.562325,-79.839111
138256,43.56255,-79.838867
138257,43.562771,-79.838608
138258,43.563,-79.838364
138259,43.563232,-79.838097
138260,43.563465,-79.837837
138261,43.563702,-79.837585
138262,43.563931,-79.837318
138263,43.564171,-79.837051
138264,43.564407,-79.836792
138265,43.564648,-79.836517
138266,43.564888,-79.83625
138267,43.565128,-79.835983
138268,43.565376,-79.835709
138269,43.565624,-79.835442
138270,43.565868,-79.835167
138271,43.566116,-79.834892
138272,43.56636,-79.834633
138273,43.566608,-79.834351
138274,43.566853,-79.834084
138275,43.567093,-79.833809
138276,43.567337,-79.833534
138277,43.567577,-79.833275
138278,43.567822,-79.833
138279,43.568062,-79.832726
138280,43.568302,-79.832466
138281,43.568542,-79.832184
138282,43.568787,-79.831917
138283,43.569031,-79.83165
138284,43.569275,-79.831367
138285,43.569519,-79.831093
138286,43.569759,-79.830818
138287,43.570004,-79.830551
138288,43.570248,-79.830276
138289,43.570488,-79.830009
138290,43.570732,-79.829735
138291,43.570976,-79.829453
138292,43.571217,-79.829201
138293,43.571453,-79.828926
138294,43.571693,-79.828667
138295,43.571926,-79.828407
138296,43.572163,-79.828156
138297,43.572399,-79.827888
138298,43.572628,-79.827629
138299,43.572857,-79.827377
138300,43.57309,-79.827118
138301,43.573318,-79.826874
138302,43.573551,-79.826607
138303,43.573784,-79.826355
138304,43.574017,-79.826088
138305,43.574249,-79.825829
138306,43.57449,-79.825569
138307,43.574726,-79.825294
138308,43.574966,-79.825035
138309,43.575207,-79.82476
138310,43.575447,-79.824486
138311,43.575687,-79.824226
138312,43.575928,-79.823952
138313,43.576168,-79.823685
138314,43.576405,-79.823418
138315,43.576645,-79.823151
138316,43.576881,-79.822884
138317,43.577122,-79.822617
138318,43.577358,-79.822357
138319,43.577591,-79.822098
138320,43.577827,-79.821831
138321,43.578064,-79.821571
138322,43.578304,-79.821297
138323,43.578541,-79.821037
138324,43.578781,-79.82077
138325,43.579021,-79.820496
138326,43.579266,-79.820229
138327,43.57951,-79.819962
138328,43.579758,-79.819679
138329,43.580002,-79.819405
138330,43.580242,-79.819138
138331,43.580486,-79.818871
138332,43.580727,-79.818604
138333,43.580971,-79.818321
138334,43.581211,-79.818047
138335,43.581455,-79.81778
138336,43.581696,-79.81752
138337,43.58194,-79.817245
138338,43.582184,-79.816978
138339,43.582424,-79.816711
138340,43.582668,-79.816437
138341,43.582909,-79.81617
138342,43.583153,-79.815903
138343,43.583393,-79.815643
138344,43.583637,-79.815369
138345,43.583881,-79.815094
138346,43.584126,-79.814827
138347,43.58437,-79.814552
138348,43.584618,-79.814278
138349,43.584854,-79.814011
138350,43.585106,-79.813728
138351,43.585342,-79.813454
138352,43.585587,-79.813187
138353,43.585835,-79.812904
138354,43.586079,-79.81263
138355,43.586323,-79.812363
138356,43.586563,-79.812088
138357,43.5868,-79.811821
138358,43.587032,-79.811562
138359,43.587265,-79.811295
138360,43.587498,-79.811043
138361,43.58773,-79.810776
138362,43.587967,-79.810516
